Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Big Sale,"Zone place_SALE_03_AVOKADO",1,15,35,"(-33.2, 27.3, 25.8)"
Big Sale,"Zone place_SALE_03_KOSTIN",1,15,35,"(-24.7, 27.1, -103.5)"
Big Sale,"Zone place_SALE_03_TREND",1,15,35,"(64.2, 27.1, -155.4)"
Big Sale,"Zone place_SALE_03_DINO",1,15,35,"(94.4, 27.1, -120.6)"
Big Sale,"Zone place_SALE_03_TOPBRAND",1,15,35,"(94.2, 27.1, 10.2)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_1",1,15,35,"(-208.4, 25.0, -74.4)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_2",1,15,35,"(274.3, 24.9, 14.5)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_3",1,15,35,"(-172.6, 25.0, -359.5)"
Database - Part 1,"Item Goshan cargo manifests",1,15,35,"(-76.5, 28.0, -157.5)"
Database - Part 1,"Item OLI cargo manifests",1,15,35,"(38.1, 27.1, 147.8)"
Database - Part 1,"Item IDEA cargo manifests",1,15,35,"(-1.4, 27.1, -292.9)"
Database - Part 2,"Item OLI cargo route documents",1,15,35,"(86.7, 27.1, 120.3)"
The Key to Success,"Item Clothes design handbook - Part 1",1,26,54,"(20.3, 36.6, -4.4)"
The Key to Success,"Item Clothes design handbook - Part 2",1,26,54,"(-30.9, 27.1, -136.2)"
Hot Delivery,"Zone place_merch_020_1",2,29,59,"(-50.1, 27.7, 25.4)"
Hot Delivery,"Zone place_merch_020_2",2,29,59,"(179.2, 21.4, -40.9)"
Minibus,"Zone place_merch_21_2",1,24,51,"(17.6, 23.6, -25.5)"
Minibus,"Zone place_merch_21_3",1,24,51,"(-49.8, 23.6, 59.0)"
Vitamins - Part 1,"Item Chemical container #2",1,22,48,"(19.8, 27.1, -106.5)"
Vitamins - Part 1,"Item Chemical container #3",1,22,48,"(24.1, 27.1, -80.8)"
Informed Means Armed,"Zone place_skier_11_3",2,24,51,"(8.1, 27.9, -36.7)"
Chumming,"Zone place_skier_12_1",2,24,51,"(-27.2, 27.1, 1.7)"
Long Line,"Zone place_merch_022_3",1,45,85,"(-40.7, 9.4, -54.6)"
Provocation,"Zone quest_zone_keeper6_kiba_kill",2,35,70,"(-9.4, 21.4, -33.7)"
Provocation,"Zone quest_zone_keeper6_kiba_hide",2,35,70,"(-20.6, 27.4, -22.0)"
Provocation,"Zone quest_zone_keeper6_safe_hide",2,35,70,"(-49.3, 21.4, 44.3)"
Spawn Point Wander,"Spawn Point (-182.9 21.5 133.5)",1,0,99,"(-182.9, 21.5, 133.5)"
Spawn Point Wander,"Spawn Point (59.1 36.6 -87.4)",1,0,99,"(59.1, 36.6, -87.4)"
Spawn Point Wander,"Spawn Point (-252.9 21.5 57.7)",1,0,99,"(-252.9, 21.5, 57.7)"
Spawn Point Wander,"Spawn Point (20.2 36.6 -80.6)",1,0,99,"(20.2, 36.6, -80.6)"
Spawn Point Wander,"Spawn Point (-156.9 27.1 -36.4)",1,0,99,"(-156.9, 27.1, -36.4)"
Spawn Point Wander,"Spawn Point (-203.9 21.5 -77.8)",1,0,99,"(-203.9, 21.5, -77.8)"
Spawn Point Wander,"Spawn Point (24.0 36.6 -38.1)",1,0,99,"(24.0, 36.6, -38.1)"
Spawn Point Wander,"Spawn Point (-87.5 27.1 140.0)",1,0,99,"(-87.5, 27.1, 140.0)"
Spawn Point Wander,"Spawn Point (298.8 21.7 -423.2)",1,0,99,"(298.8, 21.7, -423.2)"
Spawn Point Wander,"Spawn Point (-182.7 21.5 135.7)",1,0,99,"(-182.7, 21.5, 135.7)"
Spawn Point Wander,"Spawn Point (-163.3 21.4 161.0)",1,0,99,"(-163.3, 21.4, 161.0)"
Spawn Point Wander,"Spawn Point (-93.4 27.1 139.6)",1,0,99,"(-93.4, 27.1, 139.6)"
Spawn Point Wander,"Spawn Point (-207.4 21.4 -354.6)",1,0,99,"(-207.4, 21.4, -354.6)"
Spawn Point Wander,"Spawn Point (70.8 27.1 170.9)",1,0,99,"(70.8, 27.1, 170.9)"
Spawn Point Wander,"Spawn Point (-253.1 21.4 -378.6)",1,0,99,"(-253.1, 21.4, -378.6)"
Spawn Point Wander,"Spawn Point (-55.0 27.1 -200.5)",1,0,99,"(-55.0, 27.1, -200.5)"
Spawn Point Wander,"Spawn Point (-185.8 21.5 134.5)",1,0,99,"(-185.8, 21.5, 134.5)"
Spawn Point Wander,"Spawn Point (279.9 21.5 -7.8)",1,0,99,"(279.9, 21.5, -7.8)"
Spawn Point Wander,"Spawn Point (-84.1 27.1 77.8)",1,0,99,"(-84.1, 27.1, 77.8)"
Spawn Point Wander,"Spawn Point (277.3 21.5 -8.3)",1,0,99,"(277.3, 21.5, -8.3)"
Spawn Point Wander,"Spawn Point (59.1 36.6 -90.9)",1,0,99,"(59.1, 36.6, -90.9)"
Spawn Point Wander,"Spawn Point (-158.8 27.1 -73.6)",1,0,99,"(-158.8, 27.1, -73.6)"
Spawn Point Wander,"Spawn Point (-203.1 21.5 -76.3)",1,0,99,"(-203.1, 21.5, -76.3)"
Spawn Point Wander,"Spawn Point (88.4 21.4 -168.6)",1,0,99,"(88.4, 21.4, -168.6)"
Spawn Point Wander,"Spawn Point (-206.0 21.5 -77.7)",1,0,99,"(-206.0, 21.5, -77.7)"
Spawn Point Wander,"Spawn Point (-218.2 21.5 5.4)",1,0,99,"(-218.2, 21.5, 5.4)"
Spawn Point Wander,"Spawn Point (-320.8 23.4 143.0)",1,0,99,"(-320.8, 23.4, 143.0)"
Spawn Point Wander,"Spawn Point (-27.1 27.1 -2.1)",1,0,99,"(-27.1, 27.1, -2.1)"
Spawn Point Wander,"Spawn Point (90.4 21.5 -185.4)",1,0,99,"(90.4, 21.5, -185.4)"
Spawn Point Wander,"Spawn Point (-216.3 21.5 4.1)",1,0,99,"(-216.3, 21.5, 4.1)"
Spawn Point Wander,"Spawn Point (-134.9 27.2 199.6)",1,0,99,"(-134.9, 27.2, 199.6)"
Spawn Point Wander,"Spawn Point (295.9 21.6 -422.7)",1,0,99,"(295.9, 21.6, -422.7)"
Spawn Point Wander,"Spawn Point (-167.0 21.5 -389.2)",1,0,99,"(-167.0, 21.5, -389.2)"
Spawn Point Wander,"Spawn Point (281.2 21.4 2.1)",1,0,99,"(281.2, 21.4, 2.1)"
Spawn Point Wander,"Spawn Point (-166.6 21.5 -391.8)",1,0,99,"(-166.6, 21.5, -391.8)"
Spawn Point Wander,"Spawn Point (-28.3 21.5 74.6)",1,0,99,"(-28.3, 21.5, 74.6)"
Spawn Point Wander,"Spawn Point (7.0 27.1 -238.9)",1,0,99,"(7.0, 27.1, -238.9)"
Spawn Point Wander,"Spawn Point (279.6 21.5 -10.7)",1,0,99,"(279.6, 21.5, -10.7)"
