Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Audit,"Item Accountant's notes",1,17,39,"(-177.1, 6.1, 227.1)"
Your Car Needs a Service,"Item Secure Flash drive",1,35,70,"(67.5, 6.9, 302.6)"
You've Got Mail,"Item Registered letter",1,15,35,"(38.6, 1.2, 117.7)"
Ballet Lover,"Zone quest_zone_c5_mar",1,20,45,"(47.6, 11.7, 153.1)"
Glory to CPSU - Part 1,"Zone quest_zone_c6_kpss",1,17,39,"(131.4, 6.6, 232.4)"
Audiophile,"Zone quest_zone_c7_mel",1,25,53,"(43.0, 11.7, 151.5)"
Audiophile,"Item AG guitar pick",1,25,53,"(40.2, 11.7, 154.2)"
House Arrest - Part 1,"Zone quest_zone_c8_dom1",1,33,66,"(127.1, 9.7, 232.6)"
House Arrest - Part 2,"Zone quest_zone_c8_dom2",1,33,66,"(107.9, 6.6, 232.2)"
House Arrest - Part 2,"Zone quest_zone_c8_dom2_dead",1,33,66,"(106.4, 4.0, 222.6)"
Population Census,"Item Housing office journal",1,12,29,"(80.4, 3.9, 143.4)"
Urban Medicine,"Zone quest_zone_c11_gmed",1,17,39,"(93.0, 2.7, 320.4)"
Urban Medicine,"Item Chemical container with samples",1,17,39,"(92.9, 2.8, 323.3)"
Surveillance,"Item Working hard drive",1,25,53,"(212.5, -1.2, 410.3)"
Revision - Streets of Tarkov,"Zone quest_zone_place_c14_revx_1",1,17,39,"(-138.8, 4.2, 439.1)"
Revision - Streets of Tarkov,"Zone quest_zone_place_c14_revx_2",1,17,39,"(146.4, 5.4, 408.5)"
Revision - Streets of Tarkov,"Zone quest_zone_place_c14_revx_3",1,17,39,"(1.7, 1.5, 33.3)"
Green Corridor,"Zone quest_zone_c16_koll_1",1,20,45,"(14.9, 2.3, 226.3)"
Green Corridor,"Zone quest_zone_c16_koll_2",1,20,45,"(62.2, 2.6, 272.8)"
The Huntsman Path - Administrator,"Zone quest_zone_kill_c17_adm",1,23,50,"(-70.5, 0.9, 115.8)"
Watching You,"Zone quest_zone_c21_look",1,20,45,"(-67.8, 5.1, 65.9)"
Watching You,"Item Flash drive with recordings",1,20,45,"(-69.0, 5.1, 68.9)"
Broadcast - Part 2,"Zone quest_zone_c25_cinem",1,15,35,"(157.4, 4.0, 314.3)"
Broadcast - Part 4,"Zone quest_zone_c27_sect",1,27,56,"(-130.8, 8.8, 269.7)"
Road Closed,"Zone quest_zone_c16_koll_1",1,20,45,"(14.9, 2.3, 226.3)"
Road Closed,"Zone quest_zone_c16_koll_2",1,20,45,"(62.2, 2.6, 272.8)"
Information Source,"Zone quest_zone_place_c24_tigr1",1,35,70,"(-69.4, 5.1, 358.5)"
Information Source,"Zone quest_zone_place_c24_tigr2",1,35,70,"(172.5, 6.4, 416.9)"
Missing Informant,"Zone quest_zone_keeper99",1,35,70,"(-130.4, 2.4, 396.5)"
Missing Informant,"Item Informant's journal",1,35,70,"(-129.3, 2.4, 392.6)"
Spotter,"Zone quest_zone_keeper8_1",1,35,70,"(214.8, 9.4, 398.1)"
Spotter,"Zone quest_zone_keeper8_1_hide1",1,35,70,"(215.5, 9.4, 395.2)"
Spotter,"Zone quest_zone_keeper8_2",1,35,70,"(37.0, 10.2, 88.2)"
Spotter,"Zone quest_zone_keeper8_1_hide2",1,35,70,"(38.0, 12.3, 156.2)"
Trouble in the Big City,"Zone quest_zone_c16_koll_1",1,35,70,"(14.9, 2.3, 226.3)"
Trouble in the Big City,"Zone quest_zone_keeper10_place",1,35,70,"(10.5, 3.6, 217.6)"
Debtor,"Zone quest_zone_c29_debt",1,31,62,"(-80.3, 5.2, 50.5)"
Broadcast - Part 3,"Zone quest_zone_c25_cinem2",1,20,45,"(-204.7, 2.4, 242.6)"
The Delicious Sausage,"Zone quest_produkt1",1,5,17,"(-204.3, 3.4, 181.2)"
The Delicious Sausage,"Zone quest_produkt2",1,5,17,"(153.7, 3.8, 299.5)"
The Delicious Sausage,"Zone quest_produkt3",1,5,17,"(-77.3, 1.5, 158.2)"
The Delicious Sausage,"Zone quest_produkt4",1,5,17,"(275.6, 3.4, 381.4)"
Gendarmerie - Tickets Please,"Zone quest_zone_kill_cinema",1,21,47,"(-180.4, 2.3, 400.7)"
Broadcast - Part 5,"Zone quest_zone_find_2st_mech",1,27,56,"(188.2, -0.2, 226.6)"
Broadcast - Part 5,"Zone quest_zone_hide_2st_mech",1,27,56,"(188.2, -0.2, 226.6)"
The Door,"Zone quest_zone_find_sillent",1,15,35,"(184.4, 5.8, 55.6)"
The Door,"Zone quest_zone_hide_sillent",1,15,35,"(183.9, 5.8, 54.0)"
The Door,"Zone quest_zone_hide_sillent2",1,15,35,"(176.4, 5.8, 81.4)"
