Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Supply Plans,"Item Secure Folder 0052",1,13,31,"(-3.3, -1.4, -80.6)"
The Cult - Part 2,"Zone place_peacemaker_007_2_N2",1,18,41,"(196.0, 0.4, -7.2)"
The Cult - Part 2,"Zone place_peacemaker_007_2_N2_1",1,18,41,"(-88.7, 12.4, -717.6)"
Health Care Privacy - Part 3,"Zone ter_015_area_1",1,20,45,"(-97.2, -15.5, 219.8)"
Health Care Privacy - Part 3,"Item Blood sample",1,20,45,"(-94.3, -16.5, 218.5)"
Gratitude,"Zone place_THX_15",2,15,35,"(23.2, -16.3, 99.8)"
Informed Means Armed,"Zone place_skier_11_1",2,24,51,"(31.1, -13.7, 83.0)"
Lend-Lease - Part 1,"Item Motor Controller #1",1,25,53,"(233.8, -0.4, -71.1)"
Lend-Lease - Part 1,"Item Single-axis Fiber Optic Gyroscope #1",1,25,53,"(57.2, -2.6, -49.4)"
Chumming,"Zone place_skier_12_3",2,24,51,"(-6.2, -1.4, -74.8)"
The Blood of War - Part 3,"Zone bar_fuel3_1",1,30,60,"(356.5, -0.6, -87.2)"
The Blood of War - Part 3,"Zone bar_fuel3_2",1,30,60,"(-325.4, 14.3, 25.2)"
The Blood of War - Part 3,"Zone bar_fuel3_3",1,30,60,"(-200.3, 30.4, -211.8)"
Introduction,"Zone huntsman_001",1,2,11,"(-255.6, 8.5, 9.9)"
Introduction,"Item Encrypted message",1,2,11,"(-256.7, 8.6, 7.8)"
The Survivalist Path - Thrifty,"Zone huntsman_005_1",2,2,11,"(-386.8, 3.3, 22.6)"
The Survivalist Path - Thrifty,"Zone huntsman_005_2",2,2,11,"(447.5, -14.2, 70.3)"
Search Mission,"Zone pr_scout_col",1,5,17,"(195.6, 10.9, -595.8)"
Search Mission,"Zone pr_scout_base",1,5,17,"(283.1, 23.0, -439.4)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_1",1,35,70,"(222.2, 20.2, -706.6)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_2",1,35,70,"(-156.1, 51.2, -273.3)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_3",1,35,70,"(-157.9, 45.9, -233.2)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_4",1,35,70,"(446.3, -14.2, 69.2)"
Return the Favor,"Zone place_keeper5_1",2,35,70,"(289.5, 22.9, -438.0)"
Return the Favor,"Zone place_keeper5_2",2,35,70,"(293.2, 23.0, -507.0)"
Steady Signal,"Zone q14_8_3",1,15,35,"(-96.8, 12.4, -542.9)"
Steady Signal,"Zone q14_8_4",1,15,35,"(246.5, -10.8, 291.1)"
Steady Signal,"Zone q14_8_5",1,15,35,"(-447.5, 0.3, 248.2)"
Uncovered Businesses,"Zone pr_scout_base",1,1,9,"(283.1, 23.0, -439.4)"
Spawn Point Wander,"Spawn Point (487.4 -18.7 331.3)",1,0,99,"(487.4, -18.7, 331.3)"
Spawn Point Wander,"Spawn Point (-517.3 14.9 -366.0)",1,0,99,"(-517.3, 14.9, -366.0)"
Spawn Point Wander,"Spawn Point (-414.2 16.7 -362.9)",1,0,99,"(-414.2, 16.7, -362.9)"
Spawn Point Wander,"Spawn Point (-276.0 -1.1 334.3)",1,0,99,"(-276.0, -1.1, 334.3)"
Spawn Point Wander,"Spawn Point (410.8 -5.4 13.4)",1,0,99,"(410.8, -5.4, 13.4)"
Spawn Point Wander,"Spawn Point (280.4 8.3 -674.5)",1,0,99,"(280.4, 8.3, -674.5)"
Spawn Point Wander,"Spawn Point (-63.1 9.8 -587.3)",1,0,99,"(-63.1, 9.8, -587.3)"
Spawn Point Wander,"Spawn Point (-420.2 12.2 -509.6)",1,0,99,"(-420.2, 12.2, -509.6)"
Spawn Point Wander,"Spawn Point (-277.4 -1.5 329.7)",1,0,99,"(-277.4, -1.5, 329.7)"
Spawn Point Wander,"Spawn Point (368.7 -1.6 -81.7)",1,0,99,"(368.7, -1.6, -81.7)"
Spawn Point Wander,"Spawn Point (-522.8 -2.6 218.6)",1,0,99,"(-522.8, -2.6, 218.6)"
Spawn Point Wander,"Spawn Point (-441.5 0.2 344.8)",1,0,99,"(-441.5, 0.2, 344.8)"
Spawn Point Wander,"Spawn Point (-540.7 5.0 188.1)",1,0,99,"(-540.7, 5.0, 188.1)"
Spawn Point Wander,"Spawn Point (-84.2 8.8 -607.8)",1,0,99,"(-84.2, 8.8, -607.8)"
Spawn Point Wander,"Spawn Point (-519.5 12.6 -156.3)",1,0,99,"(-519.5, 12.6, -156.3)"
Spawn Point Wander,"Spawn Point (-496.5 5.6 81.5)",1,0,99,"(-496.5, 5.6, 81.5)"
Spawn Point Wander,"Spawn Point (268.5 17.5 -756.9)",1,0,99,"(268.5, 17.5, -756.9)"
Spawn Point Wander,"Spawn Point (-420.2 11.3 -519.4)",1,0,99,"(-420.2, 11.3, -519.4)"
Spawn Point Wander,"Spawn Point (-544.3 11.0 -438.9)",1,0,99,"(-544.3, 11.0, -438.9)"
Spawn Point Wander,"Spawn Point (-155.2 18.3 -620.4)",1,0,99,"(-155.2, 18.3, -620.4)"
Spawn Point Wander,"Spawn Point (-94.1 -1.3 387.8)",1,0,99,"(-94.1, -1.3, 387.8)"
Spawn Point Wander,"Spawn Point (-108.5 10.1 -609.9)",1,0,99,"(-108.5, 10.1, -609.9)"
Spawn Point Wander,"Spawn Point (231.4 26.2 -314.4)",1,0,99,"(231.4, 26.2, -314.4)"
Spawn Point Wander,"Spawn Point (-354.7 1.0 239.6)",1,0,99,"(-354.7, 1.0, 239.6)"
Spawn Point Wander,"Spawn Point (-54.1 8.9 -579.4)",1,0,99,"(-54.1, 8.9, -579.4)"
Spawn Point Wander,"Spawn Point (442.5 -17.5 261.2)",1,0,99,"(442.5, -17.5, 261.2)"
Spawn Point Wander,"Spawn Point (371.0 -1.8 -73.3)",1,0,99,"(371.0, -1.8, -73.3)"
Spawn Point Wander,"Spawn Point (443.0 -20.5 364.1)",1,0,99,"(443.0, -20.5, 364.1)"
Spawn Point Wander,"Spawn Point (-518.7 7.3 145.4)",1,0,99,"(-518.7, 7.3, 145.4)"
Spawn Point Wander,"Spawn Point (-174.5 9.4 -713.9)",1,0,99,"(-174.5, 9.4, -713.9)"
Spawn Point Wander,"Spawn Point (-429.0 25.5 -81.7)",1,0,99,"(-429.0, 25.5, -81.7)"
Spawn Point Wander,"Spawn Point (-331.6 18.5 -138.9)",1,0,99,"(-331.6, 18.5, -138.9)"
Spawn Point Wander,"Spawn Point (-390.6 -8.6 113.8)",1,0,99,"(-390.6, -8.6, 113.8)"
Spawn Point Wander,"Spawn Point (-181.3 34.1 -164.1)",1,0,99,"(-181.3, 34.1, -164.1)"
Spawn Point Wander,"Spawn Point (-12.3 13.8 -229.3)",1,0,99,"(-12.3, 13.8, -229.3)"
Spawn Point Wander,"Spawn Point (226.4 -8.7 197.5)",1,0,99,"(226.4, -8.7, 197.5)"
Spawn Point Wander,"Spawn Point (-199.9 33.5 -193.5)",1,0,99,"(-199.9, 33.5, -193.5)"
Spawn Point Wander,"Spawn Point (230.4 26.9 -320.3)",1,0,99,"(230.4, 26.9, -320.3)"
Spawn Point Wander,"Spawn Point (61.2 9.0 -657.8)",1,0,99,"(61.2, 9.0, -657.8)"
Spawn Point Wander,"Spawn Point (-23.7 9.1 -779.8)",1,0,99,"(-23.7, 9.1, -779.8)"
Spawn Point Wander,"Spawn Point (418.4 -6.2 14.3)",1,0,99,"(418.4, -6.2, 14.3)"
Spawn Point Wander,"Spawn Point (466.0 -15.0 176.3)",1,0,99,"(466.0, -15.0, 176.3)"
Spawn Point Wander,"Spawn Point (348.8 -0.9 -155.9)",1,0,99,"(348.8, -0.9, -155.9)"
Spawn Point Wander,"Spawn Point (-346.5 -8.4 131.0)",1,0,99,"(-346.5, -8.4, 131.0)"
Spawn Point Wander,"Spawn Point (280.7 -11.9 319.4)",1,0,99,"(280.7, -11.9, 319.4)"
Spawn Point Wander,"Spawn Point (-170.9 0.9 431.9)",1,0,99,"(-170.9, 0.9, 431.9)"
Spawn Point Wander,"Spawn Point (-525.1 -2.6 216.0)",1,0,99,"(-525.1, -2.6, 216.0)"
Spawn Point Wander,"Spawn Point (463.7 -12.2 115.7)",1,0,99,"(463.7, -12.2, 115.7)"
Spawn Point Wander,"Spawn Point (-539.9 -1.2 294.7)",1,0,99,"(-539.9, -1.2, 294.7)"
Spawn Point Wander,"Spawn Point (218.6 -12.3 279.4)",1,0,99,"(218.6, -12.3, 279.4)"
Spawn Point Wander,"Spawn Point (466.8 -14.9 174.3)",1,0,99,"(466.8, -14.9, 174.3)"
Spawn Point Wander,"Spawn Point (-277.3 30.9 -196.4)",1,0,99,"(-277.3, 30.9, -196.4)"
Spawn Point Wander,"Spawn Point (-93.0 -1.1 385.3)",1,0,99,"(-93.0, -1.1, 385.3)"
Spawn Point Wander,"Spawn Point (-492.4 20.6 -50.2)",1,0,99,"(-492.4, 20.6, -50.2)"
Spawn Point Wander,"Spawn Point (-519.1 9.6 88.4)",1,0,99,"(-519.1, 9.6, 88.4)"
Spawn Point Wander,"Spawn Point (-140.0 30.8 -191.8)",1,0,99,"(-140.0, 30.8, -191.8)"
Spawn Point Wander,"Spawn Point (-440.0 15.5 -325.4)",1,0,99,"(-440.0, 15.5, -325.4)"
Spawn Point Wander,"Spawn Point (464.8 -14.8 174.3)",1,0,99,"(464.8, -14.8, 174.3)"
Spawn Point Wander,"Spawn Point (-330.9 20.0 -142.3)",1,0,99,"(-330.9, 20.0, -142.3)"
Spawn Point Wander,"Spawn Point (-512.7 12.1 -150.2)",1,0,99,"(-512.7, 12.1, -150.2)"
Spawn Point Wander,"Spawn Point (-409.0 12.6 -513.0)",1,0,99,"(-409.0, 12.6, -513.0)"
Spawn Point Wander,"Spawn Point (-361.3 1.0 238.0)",1,0,99,"(-361.3, 1.0, 238.0)"
Spawn Point Wander,"Spawn Point (-162.9 0.7 436.0)",1,0,99,"(-162.9, 0.7, 436.0)"
Spawn Point Wander,"Spawn Point (-256.2 27.9 -204.1)",1,0,99,"(-256.2, 27.9, -204.1)"
Spawn Point Wander,"Spawn Point (104.0 17.6 -757.7)",1,0,99,"(104.0, 17.6, -757.7)"
Spawn Point Wander,"Spawn Point (-140.8 61.5 -206.8)",1,0,99,"(-140.8, 61.5, -206.8)"
Spawn Point Wander,"Spawn Point (-103.4 23.2 -214.6)",1,0,99,"(-103.4, 23.2, -214.6)"
Spawn Point Wander,"Spawn Point (-63.7 9.7 -581.0)",1,0,99,"(-63.7, 9.7, -581.0)"
Spawn Point Wander,"Spawn Point (-63.8 19.2 -233.0)",1,0,99,"(-63.8, 19.2, -233.0)"
Spawn Point Wander,"Spawn Point (443.5 -11.4 84.1)",1,0,99,"(443.5, -11.4, 84.1)"
Spawn Point Wander,"Spawn Point (318.8 -8.4 352.1)",1,0,99,"(318.8, -8.4, 352.1)"
Spawn Point Wander,"Spawn Point (414.3 -5.7 13.0)",1,0,99,"(414.3, -5.7, 13.0)"
Spawn Point Wander,"Spawn Point (-117.6 11.9 -729.4)",1,0,99,"(-117.6, 11.9, -729.4)"
Spawn Point Wander,"Spawn Point (-254.2 28.2 -207.9)",1,0,99,"(-254.2, 28.2, -207.9)"
Spawn Point Wander,"Spawn Point (279.8 -12.3 314.4)",1,0,99,"(279.8, -12.3, 314.4)"
Spawn Point Wander,"Spawn Point (263.9 17.3 -762.5)",1,0,99,"(263.9, 17.3, -762.5)"
Spawn Point Wander,"Spawn Point (366.8 1.1 0.6)",1,0,99,"(366.8, 1.1, 0.6)"
Spawn Point Wander,"Spawn Point (418.0 -6.1 11.9)",1,0,99,"(418.0, -6.1, 11.9)"
Spawn Point Wander,"Spawn Point (-335.8 19.3 -139.4)",1,0,99,"(-335.8, 19.3, -139.4)"
Spawn Point Wander,"Spawn Point (-171.6 1.0 432.3)",1,0,99,"(-171.6, 1.0, 432.3)"
Spawn Point Wander,"Spawn Point (-203.6 1.1 417.3)",1,0,99,"(-203.6, 1.1, 417.3)"
Spawn Point Wander,"Spawn Point (-525.1 -2.6 218.2)",1,0,99,"(-525.1, -2.6, 218.2)"
Spawn Point Wander,"Spawn Point (59.6 8.9 -659.8)",1,0,99,"(59.6, 8.9, -659.8)"
Spawn Point Wander,"Spawn Point (-526.8 -2.5 216.3)",1,0,99,"(-526.8, -2.5, 216.3)"
Spawn Point Wander,"Spawn Point (-130.6 13.0 -623.2)",1,0,99,"(-130.6, 13.0, -623.2)"
Spawn Point Wander,"Spawn Point (-90.1 -0.5 377.4)",1,0,99,"(-90.1, -0.5, 377.4)"
Spawn Point Wander,"Spawn Point (-352.3 -8.3 132.1)",1,0,99,"(-352.3, -8.3, 132.1)"
Spawn Point Wander,"Spawn Point (-416.2 12.9 -468.8)",1,0,99,"(-416.2, 12.9, -468.8)"
Spawn Point Wander,"Spawn Point (242.9 1.5 -164.3)",1,0,99,"(242.9, 1.5, -164.3)"
Spawn Point Wander,"Spawn Point (-6.4 11.0 -786.4)",1,0,99,"(-6.4, 11.0, -786.4)"
Spawn Point Wander,"Spawn Point (-359.3 0.9 236.4)",1,0,99,"(-359.3, 0.9, 236.4)"
Spawn Point Wander,"Spawn Point (-413.2 11.7 -522.4)",1,0,99,"(-413.2, 11.7, -522.4)"
Spawn Point Wander,"Spawn Point (441.8 -20.5 366.6)",1,0,99,"(441.8, -20.5, 366.6)"
Spawn Point Wander,"Spawn Point (213.5 -14.7 292.0)",1,0,99,"(213.5, -14.7, 292.0)"
Spawn Point Wander,"Spawn Point (-413.5 15.1 -428.0)",1,0,99,"(-413.5, 15.1, -428.0)"
Spawn Point Wander,"Spawn Point (-491.5 20.6 -45.2)",1,0,99,"(-491.5, 20.6, -45.2)"
Spawn Point Wander,"Spawn Point (-131.7 28.5 -197.8)",1,0,99,"(-131.7, 28.5, -197.8)"
Spawn Point Wander,"Spawn Point (443.9 -20.5 362.5)",1,0,99,"(443.9, -20.5, 362.5)"
Spawn Point Wander,"Spawn Point (-56.0 7.6 -759.4)",1,0,99,"(-56.0, 7.6, -759.4)"
Spawn Point Wander,"Spawn Point (59.8 8.8 -654.5)",1,0,99,"(59.8, 8.8, -654.5)"
Spawn Point Wander,"Spawn Point (418.5 -6.1 9.0)",1,0,99,"(418.5, -6.1, 9.0)"
Spawn Point Wander,"Spawn Point (-530.8 13.8 -404.1)",1,0,99,"(-530.8, 13.8, -404.1)"
Spawn Point Wander,"Spawn Point (-516.1 21.5 -20.1)",1,0,99,"(-516.1, 21.5, -20.1)"
Spawn Point Wander,"Spawn Point (-540.7 -1.1 297.0)",1,0,99,"(-540.7, -1.1, 297.0)"
Spawn Point Wander,"Spawn Point (-273.3 -1.6 333.3)",1,0,99,"(-273.3, -1.6, 333.3)"
Spawn Point Wander,"Spawn Point (-218.3 31.6 -202.2)",1,0,99,"(-218.3, 31.6, -202.2)"
Spawn Point Wander,"Spawn Point (72.9 11.9 -220.5)",1,0,99,"(72.9, 11.9, -220.5)"
Spawn Point Wander,"Spawn Point (-252.1 27.0 -205.0)",1,0,99,"(-252.1, 27.0, -205.0)"
Spawn Point Wander,"Spawn Point (102.6 7.2 -152.2)",1,0,99,"(102.6, 7.2, -152.2)"
Spawn Point Wander,"Spawn Point (-334.0 17.6 -136.2)",1,0,99,"(-334.0, 17.6, -136.2)"
Spawn Point Wander,"Spawn Point (355.3 -0.3 -91.5)",1,0,99,"(355.3, -0.3, -91.5)"
Spawn Point Wander,"Spawn Point (-540.7 5.0 133.9)",1,0,99,"(-540.7, 5.0, 133.9)"
Spawn Point Wander,"Spawn Point (135.1 8.5 -174.2)",1,0,99,"(135.1, 8.5, -174.2)"
Spawn Point Wander,"Spawn Point (-93.5 -0.9 382.5)",1,0,99,"(-93.5, -0.9, 382.5)"
Spawn Point Wander,"Spawn Point (-490.5 20.7 -47.0)",1,0,99,"(-490.5, 20.7, -47.0)"
Spawn Point Wander,"Spawn Point (226.4 -8.3 199.1)",1,0,99,"(226.4, -8.3, 199.1)"
Spawn Point Wander,"Spawn Point (-174.9 13.6 -649.9)",1,0,99,"(-174.9, 13.6, -649.9)"
Spawn Point Wander,"Spawn Point (90.3 -15.8 116.2)",1,0,99,"(90.3, -15.8, 116.2)"
Spawn Point Wander,"Spawn Point (-418.8 11.9 -515.2)",1,0,99,"(-418.8, 11.9, -515.2)"
Spawn Point Wander,"Spawn Point (368.9 -1.6 -67.5)",1,0,99,"(368.9, -1.6, -67.5)"
Spawn Point Wander,"Spawn Point (457.3 -11.0 97.5)",1,0,99,"(457.3, -11.0, 97.5)"
Spawn Point Wander,"Spawn Point (393.0 -16.8 362.6)",1,0,99,"(393.0, -16.8, 362.6)"
Spawn Point Wander,"Spawn Point (-519.4 7.3 154.6)",1,0,99,"(-519.4, 7.3, 154.6)"
Spawn Point Wander,"Spawn Point (-517.6 7.3 153.7)",1,0,99,"(-517.6, 7.3, 153.7)"
Spawn Point Wander,"Spawn Point (-509.6 12.0 -147.5)",1,0,99,"(-509.6, 12.0, -147.5)"
Spawn Point Wander,"Spawn Point (366.0 4.4 -8.9)",1,0,99,"(366.0, 4.4, -8.9)"
Spawn Point Wander,"Spawn Point (135.9 8.5 -665.0)",1,0,99,"(135.9, 8.5, -665.0)"
Spawn Point Wander,"Spawn Point (-538.6 -1.0 297.6)",1,0,99,"(-538.6, -1.0, 297.6)"
Spawn Point Wander,"Spawn Point (230.0 -7.8 200.7)",1,0,99,"(230.0, -7.8, 200.7)"
Spawn Point Wander,"Spawn Point (-252.3 27.5 -207.4)",1,0,99,"(-252.3, 27.5, -207.4)"
Spawn Point Wander,"Spawn Point (-153.0 0.4 434.8)",1,0,99,"(-153.0, 0.4, 434.8)"
Spawn Point Wander,"Spawn Point (280.5 8.0 -665.4)",1,0,99,"(280.5, 8.0, -665.4)"
Spawn Point Wander,"Spawn Point (-516.7 9.3 89.0)",1,0,99,"(-516.7, 9.3, 89.0)"
Spawn Point Wander,"Spawn Point (-231.2 1.1 400.9)",1,0,99,"(-231.2, 1.1, 400.9)"
Spawn Point Wander,"Spawn Point (-492.6 20.6 -48.0)",1,0,99,"(-492.6, 20.6, -48.0)"
Spawn Point Wander,"Spawn Point (-357.6 0.9 237.5)",1,0,99,"(-357.6, 0.9, 237.5)"
Spawn Point Wander,"Spawn Point (-91.3 -0.5 379.4)",1,0,99,"(-91.3, -0.5, 379.4)"
