Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"GrooveypenguinX",16,Completed,"Supply Plans","Item Secure Folder 0052","1","20:00:58","20:01:33",
Bot15,"GrooveypenguinX",16,Failed,"Gratitude","Zone place_THX_15","2","20:01:38","20:10:37",
Bot15,"GrooveypenguinX",16,Completed,"Steady Signal","Zone q14_8_4","1","20:08:08","20:10:05",
Bot15,"GrooveypenguinX",16,Failed,"Steady Signal","Zone q14_8_5","1","20:10:10","20:10:37",
Bot18,"GopnikWarrior",7,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","20:00:59","20:02:49",
Bot18,"GopnikWarrior",7,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","20:02:54","20:10:57",
Bot18,"GopnikWarrior",7,Completed,"Introduction","Item Encrypted message","1","20:11:02","20:11:36",
Bot18,"GopnikWarrior",7,Active,"Uncovered Businesses","Zone pr_scout_base","1","20:11:41","N/A",
Bot19,"RaiRaiTheRaichu",33,Completed,"Steady Signal","Zone q14_8_5","1","20:01:00","20:01:19",
Bot19,"RaiRaiTheRaichu",33,Failed,"Steady Signal","Zone q14_8_4","1","20:01:24","20:03:45",
Bot19,"RaiRaiTheRaichu",33,Completed,"Steady Signal","Zone q14_8_3","1","20:03:50","20:09:14",
Bot19,"RaiRaiTheRaichu",33,Failed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","20:09:19","20:11:31",
Bot20,"GrooveypenguinX",8,Completed,"Uncovered Businesses","Zone pr_scout_base","1","20:01:00","20:01:40",
Bot20,"GrooveypenguinX",8,Completed,"Search Mission","Zone pr_scout_base","1","20:01:45","20:01:53",
Bot20,"GrooveypenguinX",8,Completed,"Search Mission","Zone pr_scout_col","1","20:01:58","20:03:11",
Bot20,"GrooveypenguinX",8,Failed,"Introduction","Item Encrypted message","1","20:03:16","20:10:13",
Bot20,"GrooveypenguinX",8,Completed,"Introduction","Zone huntsman_001","1","20:08:30","20:09:24",
Bot20,"GrooveypenguinX",8,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","20:09:29","20:10:13",
Bot25,"Helldiver",33,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","20:01:01","20:01:52",
Bot25,"Helldiver",33,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","20:01:57","20:07:40",
Bot25,"Helldiver",33,Completed,"Steady Signal","Zone q14_8_3","1","20:07:45","20:10:10",
Bot25,"Helldiver",33,Active,"Steady Signal","Zone q14_8_5","1","20:10:15","N/A",
Bot26,"Spock",24,Pending,"Steady Signal","Zone q14_8_5","1","20:01:01","N/A",
