Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Delivery From the Past,"Zone case_extraction",2,5,17,"(41.7, 4.4, 40.8)"
Bad Rep Evidence,"Zone locked_office",1,6,18,"(30.1, 8.3, 38.9)"
Postman Pat - Part 1,"Item Sealed letter",1,10,25,"(-18.8, 0.6, 22.1)"
Sanitary Standards - Part 1,"Zone pumproom",1,4,15,"(40.4, 0.2, -10.6)"
Chemical - Part 3,"Item Syringe with a chemical",1,11,27,"(26.1, 8.7, 39.7)"
Health Care Privacy - Part 5,"Zone ter_017_area_1",2,20,45,"(24.6, 11.6, 39.1)"
Farming - Part 1,"Zone place_SADOVOD_01_1",2,12,29,"(68.2, 0.1, -7.4)"
Farming - Part 1,"Zone place_SADOVOD_01_2",2,12,29,"(59.8, 0.1, -48.4)"
Scout,"Zone place_pacemaker_SCOUT_01",1,12,29,"(66.1, -2.6, -30.5)"
Scout,"Zone place_pacemaker_SCOUT_02",1,12,29,"(-53.1, 1.3, 58.2)"
Scout,"Zone place_pacemaker_SCOUT_03",1,12,29,"(59.7, 0.3, 57.3)"
Scout,"Zone place_pacemaker_SCOUT_04",1,12,29,"(-18.4, 0.2, -48.8)"
The Huntsman Path - Secured Perimeter,"Zone huntsman_013",1,2,11,"(27.9, 1.1, 46.1)"
Spawn Point Wander,"Spawn Point (-29.8 0.2 7.6)",1,0,99,"(-29.8, 0.2, 7.6)"
Spawn Point Wander,"Spawn Point (13.8 -2.3 -21.7)",1,0,99,"(13.8, -2.3, -21.7)"
Spawn Point Wander,"Spawn Point (-21.6 -2.6 37.6)",1,0,99,"(-21.6, -2.6, 37.6)"
Spawn Point Wander,"Spawn Point (59.6 0.1 22.2)",1,0,99,"(59.6, 0.1, 22.2)"
Spawn Point Wander,"Spawn Point (-29.0 0.2 6.6)",1,0,99,"(-29.0, 0.2, 6.6)"
Spawn Point Wander,"Spawn Point (-20.2 -2.6 38.8)",1,0,99,"(-20.2, -2.6, 38.8)"
Spawn Point Wander,"Spawn Point (61.0 0.1 21.0)",1,0,99,"(61.0, 0.1, 21.0)"
Spawn Point Wander,"Spawn Point (-31.0 0.2 6.7)",1,0,99,"(-31.0, 0.2, 6.7)"
Spawn Point Wander,"Spawn Point (70.5 0.2 -61.8)",1,0,99,"(70.5, 0.2, -61.8)"
Spawn Point Wander,"Spawn Point (-20.8 0.2 22.8)",1,0,99,"(-20.8, 0.2, 22.8)"
Spawn Point Wander,"Spawn Point (46.2 0.2 -37.0)",1,0,99,"(46.2, 0.2, -37.0)"
Spawn Point Wander,"Spawn Point (60.4 0.1 19.3)",1,0,99,"(60.4, 0.1, 19.3)"
Spawn Point Wander,"Spawn Point (-19.2 -3.8 -4.9)",1,0,99,"(-19.2, -3.8, -4.9)"
Spawn Point Wander,"Spawn Point (-8.4 0.0 -33.9)",1,0,99,"(-8.4, 0.0, -33.9)"
Spawn Point Wander,"Spawn Point (-28.2 0.2 5.6)",1,0,99,"(-28.2, 0.2, 5.6)"
Spawn Point Wander,"Spawn Point (28.5 0.2 17.0)",1,0,99,"(28.5, 0.2, 17.0)"
Spawn Point Wander,"Spawn Point (67.9 0.2 -60.4)",1,0,99,"(67.9, 0.2, -60.4)"
Spawn Point Wander,"Spawn Point (-4.1 0.0 -34.7)",1,0,99,"(-4.1, 0.0, -34.7)"
Spawn Point Wander,"Spawn Point (-23.0 1.1 65.7)",1,0,99,"(-23.0, 1.1, 65.7)"
Spawn Point Wander,"Spawn Point (19.9 -2.6 -1.3)",1,0,99,"(19.9, -2.6, -1.3)"
Spawn Point Wander,"Spawn Point (-4.8 0.0 -33.1)",1,0,99,"(-4.8, 0.0, -33.1)"
Spawn Point Wander,"Spawn Point (-17.2 -2.6 38.3)",1,0,99,"(-17.2, -2.6, 38.3)"
Spawn Point Wander,"Spawn Point (-51.4 1.4 54.3)",1,0,99,"(-51.4, 1.4, 54.3)"
Spawn Point Wander,"Spawn Point (-3.5 0.0 -32.7)",1,0,99,"(-3.5, 0.0, -32.7)"
Spawn Point Wander,"Spawn Point (-52.6 1.4 55.6)",1,0,99,"(-52.6, 1.4, 55.6)"
Spawn Point Wander,"Spawn Point (35.5 8.2 36.4)",1,0,99,"(35.5, 8.2, 36.4)"
Spawn Point Wander,"Spawn Point (-31.7 0.2 8.2)",1,0,99,"(-31.7, 0.2, 8.2)"
Spawn Point Wander,"Spawn Point (68.5 0.2 -4.8)",1,0,99,"(68.5, 0.2, -4.8)"
